Project: snf0
Revision: snf0
Flow Start Date: Wed Jul 17 05:23:14 CEST 2019
Flow End Date: Wed Jul 17 05:59:25 CEST 2019

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C,2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C,5-slow-1200mV-85C,5-slow-1200mV-0C,5-fast-1200mV-0C,6-slow-1200mV-85C,6-slow-1200mV-0C,6-fast-1200mV-0C,7-slow-1200mV-85C,7-slow-1200mV-0C,7-fast-1200mV-0C,8-slow-1200mV-85C,8-slow-1200mV-0C,8-fast-1200mV-0C,9-slow-1200mV-85C,9-slow-1200mV-0C,9-fast-1200mV-0C,10-slow-1200mV-85C,10-slow-1200mV-0C,10-fast-1200mV-0C,11-slow-1200mV-85C,11-slow-1200mV-0C,11-fast-1200mV-0C,12-slow-1200mV-85C,12-slow-1200mV-0C,12-fast-1200mV-0C,13-slow-1200mV-85C,13-slow-1200mV-0C,13-fast-1200mV-0C (Best),14-slow-1200mV-85C,14-slow-1200mV-0C,14-fast-1200mV-0C,15-slow-1200mV-85C,15-slow-1200mV-0C,15-fast-1200mV-0C
All Failing Paths,>0,>0,>0,>0,>0,>0,0,>0,>0,0,>0,>0,0,>0,>0,0,>0,>0,0,>0,>0,0,>0,>0,>0,>0,>0,0,>0,>0,0,>0,>0,>0,>0,>0,0,>0,>0,0,0,>0,>0,>0,>0,0,>0,>0
Clock Hold: 'CLK_50': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'CLK_50': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'CLK_50': Worst-case Slack,0.451 ns,0.399 ns,0.185 ns,0.452 ns,0.400 ns,0.186 ns,0.451 ns,0.400 ns,0.186 ns,0.451 ns,0.400 ns,0.186 ns,0.451 ns,0.400 ns,0.186 ns,0.451 ns,0.400 ns,0.186 ns,0.451 ns,0.400 ns,0.186 ns,0.451 ns,0.400 ns,0.186 ns,0.451 ns,0.399 ns,0.185 ns,0.451 ns,0.400 ns,0.186 ns,0.451 ns,0.400 ns,0.186 ns,0.451 ns,0.400 ns,0.182 ns,0.451 ns,0.399 ns,0.185 ns,0.451 ns,0.399 ns,0.185 ns,0.451 ns,0.400 ns,0.185 ns,0.452 ns,0.400 ns,0.186 ns
Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]': Per-clock Edge TNS,-0.950 ns,-1.170 ns,-1.010 ns,-1.230 ns,-1.440 ns,-1.200 ns,0.000 ns,-0.100 ns,-0.520 ns,0.000 ns,-0.100 ns,-0.520 ns,0.000 ns,-0.100 ns,-0.520 ns,0.000 ns,-0.100 ns,-0.520 ns,0.000 ns,-0.100 ns,-0.520 ns,0.000 ns,-0.100 ns,-0.520 ns,-0.950 ns,-1.170 ns,-1.010 ns,0.000 ns,-0.100 ns,-0.520 ns,0.000 ns,-0.100 ns,-0.520 ns,-0.240 ns,-0.520 ns,-0.740 ns,0.000 ns,-0.115 ns,-0.560 ns,0.000 ns,0.000 ns,0.000 ns,-0.220 ns,-0.480 ns,-0.740 ns,0.000 ns,-0.240 ns,-0.620 ns
Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]': Per-clock Keeper TNS,-0.190 ns,-0.234 ns,-0.202 ns,-0.246 ns,-0.288 ns,-0.240 ns,0.000 ns,-0.020 ns,-0.104 ns,0.000 ns,-0.020 ns,-0.104 ns,0.000 ns,-0.020 ns,-0.104 ns,0.000 ns,-0.020 ns,-0.104 ns,0.000 ns,-0.020 ns,-0.104 ns,0.000 ns,-0.020 ns,-0.104 ns,-0.190 ns,-0.234 ns,-0.202 ns,0.000 ns,-0.020 ns,-0.104 ns,0.000 ns,-0.020 ns,-0.104 ns,-0.048 ns,-0.104 ns,-0.148 ns,0.000 ns,-0.023 ns,-0.112 ns,0.000 ns,0.000 ns,0.000 ns,-0.044 ns,-0.096 ns,-0.148 ns,0.000 ns,-0.048 ns,-0.124 ns
Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]': Worst-case Slack,-0.048 ns,-0.059 ns,-0.051 ns,-0.062 ns,-0.072 ns,-0.060 ns,0.011 ns,-0.005 ns,-0.026 ns,0.011 ns,-0.005 ns,-0.026 ns,0.011 ns,-0.005 ns,-0.026 ns,0.011 ns,-0.005 ns,-0.026 ns,0.011 ns,-0.005 ns,-0.026 ns,0.011 ns,-0.005 ns,-0.026 ns,-0.048 ns,-0.059 ns,-0.051 ns,0.011 ns,-0.005 ns,-0.026 ns,0.011 ns,-0.005 ns,-0.026 ns,-0.012 ns,-0.026 ns,-0.037 ns,0.011 ns,-0.006 ns,-0.028 ns,0.296 ns,0.258 ns,0.090 ns,-0.011 ns,-0.024 ns,-0.037 ns,0.001 ns,-0.012 ns,-0.031 ns
Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[1]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,-0.160 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[1]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,-0.032 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[1]': Worst-case Slack,0.265 ns,0.230 ns,0.077 ns,0.281 ns,0.244 ns,0.086 ns,0.326 ns,0.291 ns,0.104 ns,0.326 ns,0.291 ns,0.104 ns,0.326 ns,0.291 ns,0.104 ns,0.327 ns,0.291 ns,0.076 ns,0.327 ns,0.291 ns,0.076 ns,0.327 ns,0.291 ns,0.076 ns,0.265 ns,0.230 ns,0.077 ns,0.326 ns,0.291 ns,0.104 ns,0.326 ns,0.291 ns,0.104 ns,0.325 ns,0.287 ns,0.097 ns,0.329 ns,0.294 ns,0.106 ns,0.062 ns,0.041 ns,-0.008 ns,0.326 ns,0.289 ns,0.104 ns,0.214 ns,0.220 ns,0.039 ns
